HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
0.509,0.13108699999999998,0.451324,0.11383,0.043603,1580.0,1575.3,525.0,1760.0,0.029514
0.552,0.066821,0.728597,0.104317,0.07796900000000001,1551.9,1649.4,402.0,1734.0,0.016947999999999998
0.35100000000000003,0.019452,0.036847000000000005,0.08527,0.06013,1625.5,1677.0,806.0,641.0,0.013808
0.349,0.080884,0.255025,0.13921,0.055014,1582.1,1718.8,1561.0,1848.0,0.027979
1.2,0.062667,0.940238,0.073127,0.046855,1584.5,1665.5,547.0,2089.0,0.01008
0.252,0.014806,0.32903000000000004,0.092944,0.04801,1530.4,1647.3,889.0,2015.0,0.01374
0.7340000000000001,0.038011,0.211681,0.087301,0.05755900000000001,1588.8,1647.7,710.0,1098.0,0.014212
0.25,0.033694,0.34810100000000005,0.072013,0.031072,1571.6,1608.6,738.0,1664.0,0.009203
0.45,0.067879,0.54942,0.245611,0.086762,1568.8,1662.5,942.0,1962.0,0.020452
0.228,0.016255000000000002,0.452129,0.107812,0.053778999999999993,1538.9,1658.0,917.0,1910.0,0.0124
0.482,0.024157,0.287916,0.12021,0.046286,1588.2,1655.0,621.0,1419.0,0.009958
0.725,0.098824,0.40943,0.188966,0.06834900000000001,1582.7,1647.8,529.0,1775.0,0.0178
0.887,0.084459,0.389683,0.089755,0.068877,1592.9,1668.4,617.0,42.0,0.015902
0.457,0.113384,0.772191,0.129644,0.0613,1575.1,1652.8,697.0,2533.0,0.014265
0.213,0.038407,0.320266,0.181762,0.06668400000000001,1555.1,1659.8,796.0,1567.0,0.014183
0.51,0.131501,0.775313,0.236093,0.51757,1624.1,1675.4,529.0,2145.0,0.05164
0.252,0.005188,0.152114,0.046934,0.033894,1619.2,1633.7,635.0,1924.0,0.008
0.332,0.029023,0.217199,0.047227,0.032252,1590.2,1661.1,834.0,1241.0,0.015538
0.21,0.014991999999999997,0.240925,0.145121,0.06181100000000001,1550.4,1650.5,812.0,1643.0,0.014881
0.468,0.104871,0.386301,0.071726,0.047096,1591.2,1617.8,444.0,1481.0,0.025371
0.607,0.01674,0.147021,0.157164,0.076419,1586.4,1650.3,659.0,1135.0,0.012588
1.064,0.071987,0.784406,0.226561,0.104041,1609.4,1665.7,421.0,1886.0,0.014211
0.67,0.070534,0.361347,0.143974,0.100959,1615.9,1698.6,805.0,1544.0,0.026618
0.754,0.056626,0.328545,0.155629,0.07039400000000001,1602.9,1671.6,848.0,1193.0,0.016055
0.381,0.054839,0.403796,0.165776,0.09025,1573.4,1680.7,905.0,1715.0,0.021385
0.508,0.051965,0.284921,0.122144,0.066881,1616.6,1657.4,492.0,1006.0,0.014488999999999997
0.57,0.03292,0.885774,0.051382,0.033961,1525.8,1658.9,588.0,2301.0,0.009285
0.482,0.013766999999999998,0.450933,0.076491,0.040911,1569.2,1637.9,356.0,1484.0,0.012272
0.836,0.058516,0.196012,0.156945,0.07677300000000001,1673.0,1697.6,831.0,1135.0,0.016734
0.336,0.015886,0.041851,0.090388,0.07364,1630.9,1641.7,475.0,273.0,0.014266
0.6409999999999999,0.022994,0.08379500000000001,0.07409299999999999,0.054885,1599.4,1639.8,616.0,666.0,0.014722999999999997
0.414,0.08581,0.376247,0.162985,0.089681,1592.0,1656.3,658.0,1193.0,0.021001
0.228,0.018391,0.029242,0.042591,0.037208,1619.5,1642.4,740.0,808.0,0.012231
0.894,0.0343,0.152651,0.222095,0.126405,1639.0,1666.0,582.0,680.0,0.015918
0.401,0.14400000000000002,1.8,0.317078,0.089371,1662.3,1674.2,867.0,1311.0,0.029472
0.335,0.010352,0.261736,0.170375,0.063847,1536.4,1627.7,658.0,1540.0,0.009338
0.425,0.07755,0.468703,0.163191,0.090908,1582.8,1655.6,227.0,1574.0,0.018074
0.614,0.04783,0.383344,0.119115,0.07482,1590.8,1659.8,608.0,1240.0,0.01543
