HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P,,MB_Predictions,JSW_Predictions
0.705,0.04762,0.564256,0.069895,0.046181,1530.7,1653.3,777,2041,0.014093,,0.014939404,
0.602,0.043787,0.157141,0.136435,0.086951,1629.3,1665.9,661,847,0.021218,,0.020252778,
0.161,0.068764,0.254869,0.198444,0.090504,1618,1646.4,432,1010,0.015238,,0.018060165,
0.575,0.051863,0.589004,0.061755,0.034653,1577.1,1661.5,833,1678,0.012435,,0.014709236,
0.66,0.00462,0.149788,0.078134,0.043923,1533.1,1656.9,726,1970,0.008494,,0.010463796,
0.547,0.029029,0.471498,0.105825,0.042952,1573,1656.8,498,1825,0.010387,,0.009718189,
0.49,0.02046,0.223272,0.083674,0.05638,1565.9,1649.2,764,1560,0.012788,,0.013059569,
0.432,0.04181,0.449652,0.125794,0.077979,1564.5,1654.5,586,1281,0.014958,,0.015711937,
0.421,0.081076,0.279676,0.156999,0.081121,1632.9,1674.8,511,1074,0.017922,,0.02003117,
0.691,0.010129,0.020769,0.05888,0.05888,1580.2,1663.6,720,1698,0.010129,,0.012620607,
0.684,0.018224,0.344982,0.126957,0.065025,1596.3,1673.3,622,1443,0.009046,,0.012139252,
0.276,0.010471,0.207863,0.080629,0.040502,1526.8,1629.2,759,1683,0.015085,,0.009172201,
0.684,0.115873,0.26481,0.17544,0.113373,1653.5,1707.3,672,959,0.034101,,0.03375845,
0.609,0.115092,0.209342,0.144388,0.061202,1628.2,1643.9,446,869,0.017307,,0.011913668,
0.513,0.017796,0.268667,0.199373,0.070895,1530.7,1634.6,710,1787,0.011651,,0.010700999,
0.402,0.090661,0.101428,0.182999,0.08845,1636.4,1713.3,872,1057,0.02516,,0.028894911,
0.459,0.096945,0.210801,0.159089,0.074139,1581.8,1666.8,945,1255,0.027926,,0.025477925,
0.142,0.01856,0.23405,0.136547,0.072289,1593,1648.9,460,1141,0.011089,,0.01515089,
0.53,0.134375,0.588213,0.135017,0.060151,1556.1,1633.2,462,1875,0.014075,,0.012618178,
0.176,0.022611,0.489063,0.206741,0.083793,1536.6,1655.1,668,2021,0.015953,,0.014723191,
0.28,0.017836,0.219997,0.113193,0.068579,1601.6,1669.9,506,1028,0.014788,,0.01308298,
0.227,0.023794,0.255456,0.145103,0.081424,1595.9,1639.3,344,1091,0.013885,,0.013702756,
0.613,0.074491,0.458001,0.189511,0.099246,1577.9,1660.9,736,1697,0.016921,,0.020096564,
0.492,0.038425,0.2761,0.117725,0.066109,1603.2,1605.2,480,1255,0.014659,,0.011664608,
0.419,0.048458,0.430351,0.122202,0.0584,1547.7,1665.9,958,1847,0.01517,,0.017945356,
1.148,0.016239,0.03282,0.066555,0.066555,1619,1663.9,615,1142,0.016239,,0.014710277,
0.493,0.102606,0.229614,0.133042,0.055658,1596.8,1644.7,561,1109,0.018806,,0.016383798,
0.337,0.031652,0.503634,0.105094,0.061778,1584.7,1666,755,1381,0.018894,,0.016243862,
0.546,0.075517,0.226085,0.230558,0.089784,1653.5,1647.2,402,929,0.011383,,0.015268287,
0.232,0.076308,0.157366,0.169967,0.087037,1592.8,1639.6,793,945,0.023544,,0.02442876,
1.087,0.006164,0.252906,0.046598,0.035776,1551.2,1619.9,463,2209,0.006799,,0.004780042,
0.332,0.091058,0.732811,0.18878,0.122221,1557.4,1664.3,568,1887,0.02279,,0.022917893,
0.463,0.042393,0.284166,0.072121,0.04117,1612.3,1678.2,762,1453,0.015971,,0.015160853,
0.399,0.144,0.390357,0.26083,0.103643,1622.3,1602.3,391,1437,0.014353,,0.018692014,
0.351,0.031587,0.598429,0.064284,0.037674,1531.1,1635.2,615,2115,0.008803,,0.010816953,
0.295,0.064664,0.441789,0.149364,0.099758,1593.2,1671.7,474,1196,0.016989,,0.019580688,
0.511,0.108768,0.203846,0.118437,0.054021,1601.8,1628.5,646,828,0.012246,,0.017231136,
0.253,0.059205,0.396212,0.302042,0.094094,1588.9,1681.1,792,2067,0.022171,,0.020902228,
0.923,0.021735,0.461221,0.079205,0.049963,1551.3,1667,762,1694,0.011667,,0.013007793,
0.305,0.106839,0.38682,0.116339,0.049488,1583.4,1651.9,874,1405,0.019443,,0.020277028,
0.381,0.02208,0.486339,0.124543,0.060971,1556,1656.4,762,1599,0.013744,,0.012092546,
0.457,0.018891,0.023628,0.074914,0.074914,1579,1661.4,704,1206,0.018891,,0.017233632,
0.37,0.144,0.300362,0.227983,0.095471,1573.3,1607.4,498,1400,0.018202,,0.019743341,
0.163,0.050251,0.781161,0.168572,0.077395,1566.8,1650.1,628,1230,0.011182,,0.015705614,
0.408,0.070355,0.576928,0.104041,0.057532,1540.2,1648.7,939,1759,0.022806,,0.020173439,
0.396,0.017309,0.32766,0.225269,0.07387,1578,1660,934,1200,0.015322,,0.012884506,
0.415,0.013113,0.433961,0.138371,0.05938,1530.5,1654.1,936,1817,0.013068,,0.011769008,
0.364,0.101796,0.257529,0.100359,0.030752,1598.1,1622,742,1806,0.012322,,0.012758519,
0.529,0.015171,0.274538,0.149661,0.046575,1552,1661.3,1132,1997,0.012889,,0.012496717,
0.513,0.082616,0.544149,0.270771,0.127928,1630,1695.5,577,1798,0.071511,,0.020762032,
0.261,0.080381,0.397253,0.247352,0.053746,1600.6,1593.5,303,1275,0.00952,,0.008706452,
0.26,0.095126,0.509348,0.270318,0.109424,1584.8,1657.8,410,1624,0.020775,,0.018147931,
0.329,0.055077,0.152054,0.19963,0.112428,1623.1,1657.7,694,691,0.02516,,0.023751879,
0.474,0.087812,0.127063,0.087519,0.04642,1600.2,1657.1,791,1120,0.026867,,0.022416959,
0.582,0.050651,0.318407,0.061413,0.039993,1566,1673.5,665,1580,0.144,,0.016315865,
0.322,0.080131,0.775666,0.151281,0.076915,1549,1574.1,346,1752,0.017575,,0.013579867,
0.97,0.064522,0.508563,0.157302,0.07249,1602.9,1654.1,476,1820,0.009172,,0.011128106,
0.566,0.027978,0.259023,0.11622,0.062043,1585.9,1659.3,706,1174,0.011363,,0.013377467,
0.501,0.04562,0.556028,0.151239,0.319027,1590.9,1686.1,919,1846,0.017229,,0.077918741,
0.342,0.064701,0.069044,0.076041,0.045491,1589.8,1656.8,1013,899,0.026584,,0.022112779,
0.992,0.041602,0.198868,0.131416,0.076969,1661.1,1646.2,629,652,0.013609,,0.015504345,
0.292,0.029586,0.377189,0.1371,0.056992,1541.1,1622.2,652,1737,0.01095,,0.011591277,
0.837,0.106636,0.542935,0.158469,0.121932,1592.5,1660.7,502,1251,0.044185,,0.024974296,
0.713,0.055732,0.738189,0.167367,0.104952,1588.3,1673.2,467,1709,0.018187,,0.016709503,
0.482,0.024004,0.331634,0.187138,0.084714,1574.1,1657.9,630,1490,0.012965,,0.013825738,
0.35,0.139601,0.438551,0.156961,0.076163,1582.7,1648,649,1489,0.026571,,0.020432749,
0.473,0.059804,0.386989,0.065016,0.035494,1551.1,1669.3,1064,1911,0.01942,,0.019797866,
1.089,0.024327,0.267792,0.16372,0.098663,1581.6,1650.3,390,1201,0.014259,,0.012230791,
0.256,0.067727,0.478507,0.140351,0.054965,1581.5,1660.8,973,1686,0.019934,,0.019003448,
0.396,0.054605,0.469917,0.071753,0.05719,1598.7,1659.2,671,1546,0.012359,,0.019895235,
0.358,0.012905,0.467056,0.123934,0.066298,1556.4,1644.5,472,1594,0.009618,,0.009753996,
0.541,0.043084,0.051465,0.11734,0.066512,1685.8,1667.7,596,535,0.144,,0.016420067,
0.794,0.139716,0.856209,0.105712,0.05207,1564.3,1676.1,1003,1414,0.019341,,0.02792408,
0.338,0.031405,0.347457,0.092439,0.04864,1553.6,1656.7,1041,1424,0.019026,,0.015943638,
0.872,0.041545,0.261787,0.160136,0.103423,1607.2,1630,347,810,0.01817,,0.016718354,
0.364,0.119749,0.272918,0.194893,0.105006,1638.2,1643,626,997,0.030412,,0.025535662,
0.637,0.066144,0.202751,0.172369,0.113848,1657.7,1656.7,328,545,0.020561,,0.020799971,
0.659,0.038312,0.261046,0.167312,0.101477,1660.6,1652.8,488,607,0.015255,,0.01797708,
0.246,0.046166,0.685342,0.149992,0.082649,1556.6,1637.1,523,1848,0.01592,,0.014498529,
0.532,0.032064,0.274943,0.219772,0.101532,1584.2,1683.3,863,1445,0.020872,,0.017815919,
0.41,0.100351,0.379118,0.13319,0.090774,1648.9,1674.3,567,1037,0.031277,,0.026173818,
0.242,0.027564,0.235831,0.154631,0.064621,1576.9,1659.8,986,1499,0.015462,,0.017831113,
0.332,0.062855,0.349003,0.17087,0.095543,1596.9,1658.6,744,1087,0.023262,,0.022061546,
0.471,0.076907,0.546741,0.116916,0.070666,1570.2,1650.9,524,1390,0.015277,,0.017441028,
0.277,0.035607,0.266059,0.176548,0.070559,1590.1,1673.3,989,1460,0.017883,,0.020428141,
0.446,0.121248,0.709886,0.171501,0.106012,1569.8,1645.7,521,1762,0.025189,,0.021258049,
0.744,0.093312,0.445102,0.144997,0.086038,1571.1,1656.5,671,1238,0.025882,,0.021912002,
0.309,0.026762,0.396247,0.081677,0.04288,1519.1,1651.5,809,2193,0.013909,,0.012071017,
0.482,0.009928,0.174168,0.107775,0.054226,1598.9,1664.5,644,1321,0.008975,,0.009272862,
0.471,0.085625,0.854938,0.072016,0.051917,1553,1673.9,736,2209,0.020807,,0.022306285,
